"","mtry","AUC","AUCSD","Precision","PrecisionSD","Recall","RecallSD","F","FSD","NUTS1","CM"
"1",2,0.0538358974358974,0.150708281500349,0.972222222222222,0.166666666666667,0.67,0.458591454836415,0.971428571428571,0.0946762136662302,"NW","CM1"
"2",27,0.051453781512605,0.151096831406646,0.939024390243902,0.199847502837148,0.8,0.404061017820884,0.975,0.0889155942789728,"NW","CM1"
"3",52,0.051453781512605,0.151096831406646,0.95,0.189466186686268,0.77,0.419061146967789,0.974358974358974,0.0899842541331695,"NW","CM1"
"4",77,0.051453781512605,0.151096831406646,0.947368421052632,0.194153522572137,0.72,0.442165358301205,0.963963963963964,0.104933364622559,"NW","CM1"
"5",102,0.051453781512605,0.151096831406646,0.947368421052632,0.194153522572137,0.72,0.442165358301205,0.963963963963964,0.104933364622559,"NW","CM1"
"6",127,0.051453781512605,0.151096831406646,0.960526315789474,0.17939760112321,0.72,0.442165358301205,0.972972972972973,0.0922415768973434,"NW","CM1"
"7",152,0.051453781512605,0.151096831406646,0.960526315789474,0.17939760112321,0.73,0.442741920494621,0.981981981981982,0.0764144783783752,"NW","CM1"
"8",177,0.051453781512605,0.151096831406646,0.947368421052632,0.194153522572137,0.72,0.442165358301205,0.963963963963964,0.104933364622559,"NW","CM1"
"9",202,0.051453781512605,0.151096831406646,0.944444444444444,0.203526415851402,0.74,0.4314191105869,0.960526315789474,0.119018827379303,"NW","CM1"
"10",227,0.061453781512605,0.155657170985595,0.929824561403509,0.217933162424485,0.72,0.442165358301205,0.95045045045045,0.129486550524627,"NW","CM1"
"11",2,0.47497387742976,0.153125258310414,1,0,0.513333333333333,0.320925532295128,0.731746031746032,0.179422799479411,"NE","CM1"
"12",27,0.449481259280172,0.163939565096067,0.954545454545455,0.181023633886214,0.573333333333333,0.34364987719369,0.761240310077519,0.202619124613549,"NE","CM1"
"13",52,0.419692156620756,0.168355647399548,0.925925925925926,0.231801126108342,0.59,0.347015130986801,0.772868217054264,0.20161462190212,"NE","CM1"
"14",77,0.405361983309661,0.184915806690507,0.902173913043478,0.242354925311755,0.61,0.341083374676523,0.765151515151515,0.199864882711596,"NE","CM1"
"15",102,0.392061645870469,0.186492476922169,0.871376811594203,0.259216841480524,0.62,0.345098493942732,0.756601731601732,0.201118047495005,"NE","CM1"
"16",127,0.388179345181199,0.195311468509071,0.86231884057971,0.270583155849984,0.62,0.345098493942732,0.75530303030303,0.210811546420728,"NE","CM1"
"17",152,0.378487380885368,0.197879909896043,0.842592592592593,0.269575881718839,0.623333333333333,0.351236881518407,0.757918050941307,0.196153845491022,"NE","CM1"
"18",177,0.370232017165841,0.197138186003774,0.809259259259259,0.272139752504808,0.61,0.349294721862625,0.728460686600221,0.187356793736033,"NE","CM1"
"19",202,0.36891648805987,0.198135617565033,0.792592592592593,0.280141458575074,0.603333333333333,0.344852000855919,0.715503875968992,0.189450449638466,"NE","CM1"
"20",227,0.363421023147719,0.19915852960226,0.792592592592593,0.280141458575074,0.603333333333333,0.344852000855919,0.715503875968992,0.189450449638466,"NE","CM1"
"21",2,0.132036290322581,0.220411001730877,1,0,0.65,0.454568645048495,0.952380952380952,0.118345267082788,"MA","CM1"
"22",27,0.123731559290383,0.209813551718187,0.921296296296296,0.180326472500028,0.67,0.447327666052891,0.906481481481481,0.157120809740835,"MA","CM1"
"23",52,0.126491660300484,0.212464914122334,0.898148148148148,0.196306279071307,0.67,0.447327666052891,0.896296296296296,0.166529043708865,"MA","CM1"
"24",77,0.131491660300484,0.21236903848126,0.880952380952381,0.241087638214239,0.64,0.463350706863624,0.904901960784314,0.155728407486867,"MA","CM1"
"25",102,0.136592670401494,0.212105775931062,0.884259259259259,0.238445509546579,0.65,0.454568645048495,0.898095238095238,0.158617980902375,"MA","CM1"
"26",127,0.136505063563887,0.212147159531558,0.877450980392157,0.243808252227501,0.6,0.462910049886276,0.881818181818182,0.164800154457121,"MA","CM1"
"27",152,0.136537114845938,0.212131402904477,0.877450980392157,0.243808252227501,0.6,0.462910049886276,0.881818181818182,0.164800154457121,"MA","CM1"
"28",177,0.136574993633817,0.212113092127068,0.862745098039216,0.25116090136786,0.6,0.462910049886276,0.871717171717172,0.167523052336009,"MA","CM1"
"29",202,0.136630549189373,0.212087452816416,0.858585858585859,0.253863248268726,0.58,0.466860989667663,0.867708333333333,0.16858771899642,"MA","CM1"
"30",227,0.136620448179272,0.212091563598901,0.843434343434343,0.288492832628671,0.56,0.469910977239958,0.874193548387097,0.167267733360789,"MA","CM1"
"31",2,0.638569856069856,0.074854375960249,1,0,0.833333333333333,0.225876975726313,0.89,0.159399382888724,"CE","CM1"
"32",27,0.633984126984127,0.0697472693055297,1,0,0.773333333333333,0.25590531128656,0.846,0.186492873420768,"CE","CM1"
"33",52,0.610781746031746,0.0980387199450585,1,0,0.706666666666667,0.282842712474619,0.822916666666667,0.181295084879371,"CE","CM1"
"34",77,0.582746031746032,0.121670543361397,0.993197278911565,0.0476190476190476,0.713333333333333,0.260907191081957,0.815646258503401,0.178872761628504,"CE","CM1"
"35",102,0.557880952380952,0.130004187359611,0.986111111111111,0.0673136455078196,0.706666666666667,0.27470866860678,0.819444444444444,0.176092783051182,"CE","CM1"
"36",127,0.543406084656085,0.139307436873039,0.94421768707483,0.131257760811476,0.713333333333333,0.260907191081957,0.794509232264334,0.180200377206065,"CE","CM1"
"37",152,0.516738095238095,0.165746878493127,0.951020408163265,0.125065175752249,0.713333333333333,0.260907191081957,0.797230320699708,0.179233789395439,"CE","CM1"
"38",177,0.509825757575758,0.169053347762183,0.930612244897959,0.141844126546811,0.713333333333333,0.260907191081957,0.789067055393586,0.181993609337262,"CE","CM1"
"39",202,0.513260332260332,0.160136690992456,0.937414965986395,0.136826236969394,0.713333333333333,0.260907191081957,0.79178814382896,0.181120080254491,"CE","CM1"
"40",227,0.49993253968254,0.164822372339101,0.918707482993197,0.159303775045553,0.713333333333333,0.260907191081957,0.782264334305151,0.183285051635906,"CE","CM1"
"41",2,0.708333333333333,0.0420896893563421,1,0,0.938333333333333,0.154128741428198,0.960095238095238,0.104376399991525,"E","CM1"
"42",27,0.703333333333333,0.050954606092935,0.975,0.0686978002202548,0.948333333333333,0.140748323979179,0.952793650793651,0.0982552059133302,"E","CM1"
"43",52,0.701666666666667,0.0675326409699182,0.957333333333333,0.0936873751528911,0.953333333333333,0.128394940597264,0.946253968253968,0.094568431733868,"E","CM1"
"44",77,0.695,0.085200177786109,0.957333333333333,0.0936873751528911,0.948333333333333,0.131373780849851,0.943396825396825,0.095068205019866,"E","CM1"
"45",102,0.703333333333333,0.050954606092935,0.957333333333333,0.0936873751528911,0.941666666666667,0.137034100395492,0.939396825396825,0.0968292149831072,"E","CM1"
"46",127,0.700541666666667,0.0671786384099646,0.957333333333333,0.0936873751528911,0.946666666666667,0.134434230604696,0.942253968253968,0.0964595519599231,"E","CM1"
"47",152,0.702208333333333,0.0505223740034384,0.957333333333333,0.0936873751528911,0.941666666666667,0.137034100395492,0.939396825396825,0.0968292149831072,"E","CM1"
"48",177,0.688597222222222,0.0789707577671984,0.957333333333333,0.0936873751528911,0.946666666666667,0.134434230604696,0.942253968253968,0.0964595519599231,"E","CM1"
"49",202,0.698597222222222,0.0695444985003697,0.957333333333333,0.0936873751528911,0.946666666666667,0.134434230604696,0.942253968253968,0.0964595519599231,"E","CM1"
"50",227,0.699208333333333,0.0567460334804084,0.957333333333333,0.0936873751528911,0.93,0.144200037425969,0.932539682539683,0.0985527546607734,"E","CM1"
"51",2,0.766019106415844,0.072557553050463,0.989142857142857,0.0439188225452474,0.858666666666667,0.146394304933651,0.911738594738595,0.0948505240815027,"S","CM1"
"52",27,0.744666223039377,0.089386282463212,0.97647619047619,0.0680911943997027,0.888666666666667,0.14358702434444,0.922920412920413,0.0976399966049909,"S","CM1"
"53",52,0.739222547094218,0.107653469036677,0.97647619047619,0.0680911943997027,0.892666666666667,0.138060751030322,0.925698190698191,0.0945467977061953,"S","CM1"
