"","mtry","AUC","AUCSD","NUTS1","CM"
"1",2,0.963270944741533,0.119719452379873,"NW","CM1"
"2",27,0.935071301247772,0.197173462712777,"NW","CM1"
"3",52,0.937442067736185,0.18975251122426,"NW","CM1"
"4",77,0.94041889483066,0.180598727669075,"NW","CM1"
"5",102,0.940730837789661,0.179745562000395,"NW","CM1"
"6",127,0.941639928698752,0.177144044167865,"NW","CM1"
"7",152,0.943422459893048,0.171575441375416,"NW","CM1"
"8",177,0.944313725490196,0.168818828739825,"NW","CM1"
"9",202,0.944928698752228,0.167064894145624,"NW","CM1"
"10",227,0.943146167557932,0.168521219215613,"NW","CM1"
"11",2,0.979422043010753,0.0468750582525399,"NE","CM1"
"12",27,0.965581317204301,0.0808066368312743,"NE","CM1"
"13",52,0.959405241935484,0.0880365621851412,"NE","CM1"
"14",77,0.95260752688172,0.093177484714423,"NE","CM1"
"15",102,0.951009744623656,0.0918702033378323,"NE","CM1"
"16",127,0.946350806451613,0.0991200395014209,"NE","CM1"
"17",152,0.942726814516129,0.104810356900077,"NE","CM1"
"18",177,0.941087029569892,0.101937387974256,"NE","CM1"
"19",202,0.936034946236559,0.109891310418203,"NE","CM1"
"20",227,0.929065860215054,0.115636094311581,"NE","CM1"
"21",2,0.936363636363636,0.2005116578785,"MA","CM1"
"22",27,0.942584670231729,0.179825844140034,"MA","CM1"
"23",52,0.945614973262032,0.170735159667229,"MA","CM1"
"24",77,0.944705882352941,0.171792239237918,"MA","CM1"
"25",102,0.945329768270945,0.167507746069222,"MA","CM1"
"26",127,0.946541889483066,0.162403132441374,"MA","CM1"
"27",152,0.94578431372549,0.16584270685602,"MA","CM1"
"28",177,0.946541889483066,0.163165823984796,"MA","CM1"
"29",202,0.946693404634581,0.162774466143985,"MA","CM1"
"30",227,0.94578431372549,0.16609676297416,"MA","CM1"
"31",2,0.991856630824373,0.0244247724969779,"CE","CM1"
"32",27,0.993849462365591,0.0145490054857899,"CE","CM1"
"33",52,0.990774193548387,0.017434367696204,"CE","CM1"
"34",77,0.986232974910394,0.0217474034128828,"CE","CM1"
"35",102,0.980616487455197,0.024690689515305,"CE","CM1"
"36",127,0.975874551971326,0.0310256134732342,"CE","CM1"
"37",152,0.970491039426523,0.0358429085237333,"CE","CM1"
"38",177,0.966989247311828,0.0391751082438769,"CE","CM1"
"39",202,0.964906810035842,0.0417657709260025,"CE","CM1"
"40",227,0.961698924731183,0.0430178998279938,"CE","CM1"
"41",2,1,0,"E","CM1"
"42",27,1,0,"E","CM1"
"43",52,1,0,"E","CM1"
"44",77,1,0,"E","CM1"
"45",102,1,0,"E","CM1"
"46",127,0.999821428571429,0.00126269068069026,"E","CM1"
"47",152,0.999821428571429,0.00126269068069026,"E","CM1"
"48",177,0.999591543513957,0.00203788306441378,"E","CM1"
"49",202,0.999591543513957,0.00203788306441378,"E","CM1"
"50",227,0.999361658456486,0.00346356189178187,"E","CM1"
"51",2,0.96288711001642,0.0607305919292072,"S","CM1"
"52",27,0.961141625615764,0.0601115156504052,"S","CM1"
"53",52,0.963346880131363,0.0572426292173792,"S","CM1"
"54",77,0.964467980295566,0.0553830332523822,"S","CM1"
"55",102,0.966579638752053,0.0526922714691366,"S","CM1"
"56",127,0.965994663382594,0.0535403850122612,"S","CM1"
"57",152,0.962147783251232,0.0593822736643605,"S","CM1"
"58",177,0.963148604269294,0.0579408763696729,"S","CM1"
"59",202,0.964129720853859,0.0562869869629224,"S","CM1"
"60",227,0.962315681444992,0.0587048758239979,"S","CM1"
"61",2,0.998405442176871,0.00313402143897472,"NW","CM4"
"62",27,0.99814693877551,0.00385180763900852,"NW","CM4"
"63",52,0.997651020408163,0.00543852443207124,"NW","CM4"
"64",77,0.997719047619048,0.00559154576461912,"NW","CM4"
"65",102,0.997300680272109,0.00676125694578695,"NW","CM4"
"66",127,0.997438775510204,0.00674650256905514,"NW","CM4"
"67",152,0.997231292517007,0.00747307914177869,"NW","CM4"
"68",177,0.997201700680272,0.00750155398327309,"NW","CM4"
"69",202,0.997203401360544,0.00748888264822928,"NW","CM4"
"70",227,0.997127210884354,0.00761545268935858,"NW","CM4"
"71",2,0.996435964912281,0.00802580900123841,"NE","CM4"
"72",27,0.996594486215539,0.00764796284972427,"NE","CM4"
"73",52,0.99617969924812,0.00775684534175808,"NE","CM4"
"74",77,0.996110651629073,0.00735044338004053,"NE","CM4"
"75",102,0.996188095238095,0.00696230608484357,"NE","CM4"
"76",127,0.995810776942356,0.00747059603546179,"NE","CM4"
"77",152,0.994995363408521,0.00930588290763146,"NE","CM4"
"78",177,0.995388220551378,0.00818300791106507,"NE","CM4"
"79",202,0.995175187969925,0.0090819742365813,"NE","CM4"
"80",227,0.995249122807017,0.00818341173894257,"NE","CM4"
"81",2,0.989643197278912,0.0219896713646656,"MA","CM4"
"82",27,0.990677551020408,0.0212745088602351,"MA","CM4"
"83",52,0.990868027210884,0.0210588946024906,"MA","CM4"
"84",77,0.991073129251701,0.0201957439875703,"MA","CM4"
"85",102,0.991584353741497,0.0186670775013489,"MA","CM4"
"86",127,0.992396598639456,0.0165581704598873,"MA","CM4"
