"","mtry","RMSE","RMSESD","Rsquared","RsquaredSD","NUTS1","CM"
"1",2,0.00673594249319039,0.00490643208581365,0.836314725132933,0.203914817542863,"NW","CM1"
"2",27,0.00536717607155375,0.0043696570321163,0.869163142092773,0.173698891781872,"NW","CM1"
"3",52,0.0051242344153495,0.00433316420034031,0.876832353547179,0.1646025654456,"NW","CM1"
"4",77,0.0049969798702249,0.00434298691060068,0.88306379891651,0.152887654845612,"NW","CM1"
"5",102,0.00489257376248588,0.00427794698367997,0.889041854869856,0.145001033320054,"NW","CM1"
"6",127,0.00480127278857832,0.00427471811068627,0.893387762561912,0.142531913585203,"NW","CM1"
"7",152,0.00472862452448456,0.00427105747300249,0.893922387233947,0.144357027582137,"NW","CM1"
"8",177,0.00466142118518389,0.00424872612663175,0.897486026407798,0.137516881334918,"NW","CM1"
"9",202,0.00465507841678818,0.00423396724707917,0.899670903202215,0.132708872361447,"NW","CM1"
"10",227,0.00466341492964808,0.00431134929952404,0.897955848972164,0.135511072871602,"NW","CM1"
"11",2,0.00614295868837143,0.00258254381405224,0.752037522698374,0.215277417159202,"NE","CM1"
"12",27,0.00598600773549331,0.0025447715892915,0.715111231464308,0.232278794960139,"NE","CM1"
"13",52,0.00615959317437085,0.00257323678627355,0.687892103658298,0.237732894239078,"NE","CM1"
"14",77,0.0063269390958971,0.00259481460706804,0.667476163785474,0.242019267872697,"NE","CM1"
"15",102,0.00649865112155278,0.00265006582837299,0.64544669458388,0.247385027969274,"NE","CM1"
"16",127,0.00669874560632778,0.00269042980982709,0.625447768503616,0.251533956350895,"NE","CM1"
"17",152,0.00681347982341074,0.00274793803512151,0.609828875391222,0.258864038168949,"NE","CM1"
"18",177,0.0069606870955848,0.00277645831923007,0.598062580084203,0.262980454213172,"NE","CM1"
"19",202,0.00711253054588939,0.00281446768226321,0.582862411477653,0.267684940800529,"NE","CM1"
"20",227,0.00721537817546468,0.00283288081394786,0.574731233573112,0.271192147920832,"NE","CM1"
"21",2,0.00714862844950102,0.00422336140330395,0.808101734649455,0.227535512773155,"MA","CM1"
"22",27,0.00695540033050285,0.00414592041648573,0.7721212974489,0.239466162561,"MA","CM1"
"23",52,0.00723995719574649,0.00427672596776336,0.755064180199287,0.245484542366832,"MA","CM1"
"24",77,0.00744331574871383,0.00443403978277908,0.7437590045448,0.247201307775322,"MA","CM1"
"25",102,0.00751060855267281,0.00453128803938831,0.735782021721572,0.252572940116324,"MA","CM1"
"26",127,0.0076479251559273,0.0045815555232916,0.730995650377015,0.251611856834397,"MA","CM1"
"27",152,0.00777227877707713,0.00465500308586772,0.72349566651843,0.252235602079201,"MA","CM1"
"28",177,0.00786012818002415,0.00472149782677216,0.719632467094884,0.259646848269497,"MA","CM1"
"29",202,0.00786320058396281,0.00472566867044542,0.716328637908413,0.258832530612739,"MA","CM1"
"30",227,0.00798431098424848,0.00478105952835345,0.712359266583933,0.260259626537228,"MA","CM1"
"31",2,0.00515710909806409,0.00270914424735113,0.838259324885231,0.118867350335709,"CE","CM1"
"32",27,0.00521819751547207,0.00257690944159751,0.783030692313107,0.128221497780127,"CE","CM1"
"33",52,0.00561701552659822,0.00264428730748185,0.730338092414172,0.154719438935747,"CE","CM1"
"34",77,0.00593032352521781,0.00266250974083453,0.684035611656799,0.173638566906021,"CE","CM1"
"35",102,0.00617165963154034,0.00270655484678197,0.648373411784522,0.188601349778332,"CE","CM1"
"36",127,0.00636896208880671,0.00273958034499979,0.618431285264997,0.204408838830556,"CE","CM1"
"37",152,0.00654299506373337,0.00276269809397246,0.596346394389451,0.213306953060844,"CE","CM1"
"38",177,0.0066821090410495,0.00275578440206268,0.574917384232077,0.221447818130036,"CE","CM1"
"39",202,0.00681935917111272,0.002761149262964,0.557874173512622,0.226324444576395,"CE","CM1"
